sample_id,bus_id,P_A,P_B,P_C,phase
0,0,0.0,0.0,2880.0500190101116,C
0,1,0.0,0.0,2139.256916641758,C
0,2,0.0,0.0,2508.449973970406,C
0,3,0.0,0.0,1790.5006659802677,C
0,4,0.0,0.0,2393.523167120615,C
0,5,0.0,0.0,2103.8202449395712,C
0,6,0.0,0.0,2006.094271132091,C
0,7,0.0,0.0,2438.7252911555856,C
0,8,0.0,0.0,1567.2877942760533,C
0,9,0.0,0.0,2360.275808356463,C
0,10,0.0,0.0,1762.203576763801,C
0,11,0.0,0.0,2286.994985999872,C
0,12,0.0,2279.1165312081043,0.0,B
0,13,0.0,1898.2736953413348,0.0,B
0,14,0.0,2101.494886396932,0.0,B
0,15,0.0,0.0,1519.6134173632781,C
0,16,0.0,0.0,1820.0529581737533,C
0,17,0.0,0.0,2325.543447303448,C
0,18,0.0,2628.25136583981,0.0,B
0,19,0.0,0.0,2473.1845875129843,C
0,20,0.0,0.0,2870.8777441379943,C
0,21,0.0,0.0,2139.4149102590595,C
0,22,0.0,0.0,1510.670096936706,C
0,23,0.0,0.0,1521.73747980016,C
0,24,0.0,0.0,1432.9064574307224,C
0,25,0.0,0.0,2142.19111292265,C
0,26,0.0,0.0,1860.8721899915572,C
0,27,0.0,0.0,2078.326270269324,C
0,28,0.0,0.0,1875.3010300617086,C
0,29,0.0,0.0,2047.443995343953,C
0,30,0.0,0.0,1697.0732124518158,C
0,31,0.0,0.0,1833.0461241562753,C
0,32,0.0,2207.0828630519977,0.0,B
0,33,0.0,2022.1989284936099,0.0,B
0,34,0.0,2542.4088081257946,0.0,B
0,35,0.0,2520.57900700216,0.0,B
0,36,0.0,2545.709230940549,0.0,B
0,37,0.0,0.0,2329.4238950415547,C
0,38,0.0,2018.2992982044948,0.0,B
0,39,0.0,2054.59610314547,0.0,B
0,40,167.22488080461073,0.0,1935.8448287133967,AC
0,41,1023.4457509233026,0.0,1251.139484381451,AC
0,42,0.0,0.0,2445.064073738623,C
0,43,0.0,0.0,2560.015695644359,C
0,44,0.0,0.0,2694.6960063453294,C
0,45,1966.3360675412807,0.0,0.0,A
0,46,2478.9882502865057,0.0,0.0,A
0,47,95.26779181154583,0.0,2067.0668848040814,AC
0,48,532.052217320103,0.0,1375.3863999182702,AC
0,49,541.9303435262658,0.0,1911.2351402848756,AC
0,50,0.0,0.0,1974.4367274803446,C
0,51,0.0,0.0,2600.2891126785958,C
0,52,0.0,2442.5922836369473,0.0,B
0,53,0.0,1553.0578495695652,0.0,B
0,54,0.0,1858.6179395398406,0.0,B
0,55,0.0,1143.5192034036015,0.0,B
