sample_id,bus_id,CAIDI_DIC
0,0,5.555562454093636
0,1,4.685801006133606
0,2,4.646143328724869
0,3,3.659418301638954
0,4,6.4772749683285165
0,5,2.8304513950099355
0,6,0.0
0,7,0.0
0,8,0.0
0,9,2.937987406306456
0,10,2.8157822739616813
0,11,1.0293388337659362
0,12,2.3924985012971423
0,13,4.183008947258317
0,14,0.0
0,15,0.0
0,16,9.368983092812458
0,17,0.0
0,18,8.929268835952232
0,19,0.0
0,20,0.0
0,21,0.7407653876536132
0,22,0.0
0,23,4.093020046868153
0,24,3.234021764916227
0,25,0.0
0,26,0.0
0,27,0.0
0,28,0.0
0,29,0.0
0,30,0.0
0,31,0.0
0,32,0.0
0,33,0.0
0,34,0.0
0,35,0.0
0,36,2.900536982640227
0,37,0.0
0,38,0.0
0,39,4.19714839679279
0,40,1.2405980226663016
0,41,4.1477863145765745
0,42,0.0
0,43,3.995243998690298
0,44,1.2327436725171221
0,45,0.34761215105624155
0,46,3.983269622981934
0,47,0.0
0,48,4.600901677141731
0,49,0.0
0,50,0.0
0,51,8.611145941272444
0,52,4.510468850861509
0,53,4.343743148556139
0,54,0.0
0,55,3.473519102138005
0,56,0.0
0,57,0.0
0,58,0.0
0,59,0.0
0,60,0.0
0,61,0.0
0,62,0.0
0,63,3.524293332862433
0,64,3.5546938359524063
0,65,1.7944471065555108
0,66,0.0
0,67,4.158381371232666
0,68,12.9298237082182
0,69,4.431531220663935
0,70,0.0
0,71,4.318869833559644
0,72,6.9368098873286295
0,73,0.0
0,74,0.0
0,75,0.0
0,76,2.4248306040537804
0,77,3.4959888751735164
0,78,0.0
0,79,2.987899852005727
0,80,0.0
0,81,0.0
0,82,0.0
0,83,0.0
0,84,2.2111556400070858
0,85,0.0
0,86,0.0
0,87,0.0
0,88,0.0
0,89,0.0
0,90,0.0
0,91,0.0
0,92,0.0
0,93,0.0
0,94,5.901518275647314
0,95,2.0271292236548715
0,96,2.9787829277795357
0,97,0.0
0,98,1.477470730092976
0,99,4.1280926313607305
0,100,0.0
0,101,7.684747062517311
0,102,0.0
0,103,5.652883563853065
0,104,11.538265032823798
0,105,10.24906444328824
0,106,0.0
0,107,3.1696383139154762
0,108,0.0
0,109,7.284569674031318
0,110,3.4127703190441223
0,111,0.7454915000436181
0,112,0.0
0,113,0.0
0,114,0.0
0,115,2.290356206922168
0,116,3.887353853908705
0,117,0.0
1,0,8.002577752110394
1,1,2.8415294496435743
1,2,1.5424181929393894
1,3,0.9402177890367253
1,4,0.0
1,5,6.148446805778853
1,6,6.22413600545707
1,7,0.0
1,8,0.0
1,9,3.688026200322216
1,10,2.24232591205834
1,11,3.184583961904954
1,12,1.1055267900787376
1,13,1.7970465625103995
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,3.5865977850315627
1,23,1.4220528751832233
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,1.605517016903759
1,30,0.0
1,31,0.0
1,32,0.0
1,33,0.0
1,34,0.0
1,35,0.0
1,36,4.405884676719588
1,37,6.424158835819831
1,38,4.426739677685413
1,39,4.348497925191285
1,40,3.6857213544844307
1,41,0.0
1,42,4.063630831518221
1,43,0.0
1,44,0.0
1,45,0.0
1,46,0.9673517121803916
1,47,0.5954558017198318
1,48,3.927410423849152
1,49,0.0
1,50,0.0
