sample_id,bus_id,P_A,P_B,P_C,phase
0,0,1242.0402390746926,1240.573550768795,397.4362291656342,ABC
0,1,0.0,2139.2569166417657,0.0,B
0,2,0.0,2508.449973970415,0.0,B
0,3,0.0,1790.500665980274,0.0,B
0,4,0.0,2393.5231671206234,0.0,B
0,5,0.0,2103.820244939579,0.0,B
0,6,0.0,1822.158834460229,0.0,B
0,7,0.0,2357.5545946971524,0.0,B
0,8,597.7319328218025,0.0,722.1185153314066,AC
0,9,0.0,2283.7643955033627,0.0,B
0,10,0.0,1598.1652528660456,0.0,B
0,11,0.0,2286.99498599988,0.0,B
0,12,0.0,1817.3576540677172,0.0,B
0,13,0.0,1749.6745575945415,0.0,B
0,14,0.0,2101.49488639694,0.0,B
0,15,0.0,1519.6134173632838,0.0,B
0,16,0.0,1820.0529581737596,0.0,B
0,17,0.0,2325.543447303456,0.0,B
0,18,0.0,2628.2513658398198,0.0,B
0,19,0.0,2451.213443402119,0.0,B
0,20,0.0,2944.8206785607276,0.0,B
0,21,0.0,2056.882671098667,0.0,B
0,22,0.0,1510.6700969367112,0.0,B
0,23,0.0,1521.7374798001654,0.0,B
0,24,20.177469914546897,0.0,1521.0721610037806,AC
0,25,0.0,0.0,2142.191112922658,C
0,26,0.0,0.0,1860.8721899915638,C
0,27,0.0,1727.8589559178495,0.0,B
0,28,0.0,1875.3010300617152,0.0,B
0,29,0.0,2047.4439953439603,0.0,B
0,30,0.0,1600.8133376253625,0.0,B
0,31,0.0,1565.5736964895873,0.0,B
0,32,0.0,2207.082863052006,0.0,B
0,33,0.0,1983.3677860429966,0.0,B
0,34,0.0,2542.4088081258037,0.0,B
0,35,0.0,2180.4848864818064,0.0,B
0,36,0.0,2531.587090706578,0.0,B
0,37,0.0,2350.037747429906,0.0,B
0,38,0.0,2162.4498501947337,0.0,B
0,39,0.0,2054.5961031454776,0.0,B
0,40,0.0,2103.069709519881,0.0,B
0,41,0.0,2269.8320359361414,0.0,B
0,42,0.0,2418.2650459782694,0.0,B
0,43,0.0,2541.9206420690507,0.0,B
0,44,0.0,2617.3040640455383,0.0,B
0,45,0.0,1966.3360675412878,0.0,B
0,46,0.0,2539.283722199617,0.0,B
0,47,0.0,2022.1828047635292,0.0,B
0,48,0.0,1907.4386172410877,0.0,B
0,49,0.0,2462.547877710612,0.0,B
0,50,0.0,1974.4367274803517,0.0,B
0,51,554.8803528260431,0.0,2045.4087598509545,AC
0,52,0.0,2398.1023095975966,0.0,B
0,53,0.0,1892.9000738162513,0.0,B
0,54,0.0,1736.7925626270217,0.0,B
0,55,0.0,707.1141225279839,0.0,B
0,56,0.0,1713.420405743899,0.0,B
0,57,0.0,1865.5412350222698,0.0,B
0,58,0.0,1895.2604211917671,0.0,B
0,59,0.0,2416.161093166985,0.0,B
0,60,0.0,1685.7427457535139,0.0,B
0,61,0.0,2060.320297820476,0.0,B
0,62,0.0,1983.1588986504596,0.0,B
0,63,0.0,1597.0455665759653,0.0,B
0,64,0.0,1762.8557553982453,0.0,B
0,65,0.0,1705.910436297632,0.0,B
0,66,0.0,1827.0016902321604,0.0,B
0,67,0.0,2393.5059261987544,0.0,B
0,68,0.0,1628.2917916128895,0.0,B
0,69,0.0,1817.13924142585,0.0,B
0,70,0.0,2403.5282036172066,0.0,B
0,71,0.0,0.0,2101.3866764925797,C
0,72,1654.1663774932354,0.0,536.8549139022629,AC
0,73,0.0,1248.935859486641,0.0,B
0,74,0.0,2543.35142166217,0.0,B
0,75,0.0,2247.8706864806873,0.0,B
0,76,543.5522911296342,0.0,1482.1714993973565,AC
0,77,423.14184342377524,0.0,1403.3468749428823,AC
0,78,0.0,0.0,2092.8452513144516,C
0,79,0.0,2101.097643367151,0.0,B
