sample_id,bus_id,CAIFI_FIC
0,0,9
0,1,1
0,2,0
0,3,1
0,4,2
0,5,0
0,6,1
0,7,0
0,8,1
0,9,0
0,10,0
0,11,0
0,12,4
0,13,2
0,14,0
0,15,0
0,16,0
0,17,0
0,18,1
0,19,1
0,20,0
0,21,1
0,22,1
0,23,0
0,24,1
0,25,1
0,26,1
0,27,1
0,28,0
0,29,0
0,30,2
0,31,2
0,32,4
0,33,0
0,34,0
0,35,0
0,36,1
0,37,4
0,38,0
0,39,1
0,40,0
0,41,1
0,42,0
0,43,2
0,44,1
0,45,0
0,46,0
0,47,0
0,48,0
0,49,1
0,50,1
0,51,1
0,52,0
0,53,0
0,54,1
0,55,0
0,56,2
0,57,1
0,58,0
0,59,1
0,60,4
0,61,1
0,62,2
0,63,2
0,64,3
0,65,0
0,66,1
0,67,1
0,68,0
0,69,0
0,70,3
0,71,0
0,72,1
0,73,2
0,74,3
0,75,0
0,76,0
0,77,4
0,78,3
0,79,1
0,80,0
0,81,0
0,82,1
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,1
0,90,1
0,91,0
0,92,1
0,93,0
0,94,2
0,95,0
0,96,0
0,97,1
0,98,2
0,99,0
0,100,4
0,101,1
0,102,0
0,103,5
0,104,1
0,105,3
0,106,1
0,107,1
0,108,0
0,109,1
0,110,0
0,111,1
0,112,2
0,113,0
0,114,2
0,115,1
0,116,0
0,117,1
0,118,2
0,119,1
0,120,0
0,121,2
0,122,1
0,123,0
0,124,1
0,125,0
0,126,1
0,127,3
0,128,1
0,129,1
0,130,1
0,131,1
0,132,3
0,133,1
0,134,0
0,135,3
0,136,2
0,137,3
0,138,0
0,139,1
0,140,1
0,141,2
0,142,0
0,143,2
0,144,3
0,145,3
0,146,0
0,147,1
0,148,2
0,149,2
0,150,4
0,151,5
0,152,0
0,153,3
0,154,2
0,155,2
0,156,1
0,157,3
0,158,1
0,159,0
0,160,0
0,161,0
0,162,0
0,163,5
0,164,3
0,165,2
0,166,1
0,167,4
0,168,0
0,169,2
0,170,1
0,171,0
0,172,1
0,173,2
0,174,2
0,175,0
0,176,1
0,177,0
0,178,1
0,179,0
0,180,3
0,181,0
0,182,1
0,183,2
0,184,0
0,185,3
0,186,10
0,187,0
0,188,1
0,189,1
0,190,2
0,191,3
0,192,1
0,193,1
0,194,2
0,195,0
0,196,1
0,197,0
0,198,0
0,199,3
0,200,0
0,201,1
0,202,2
0,203,0
0,204,2
0,205,1
0,206,0
0,207,1
0,208,0
0,209,0
0,210,1
0,211,1
0,212,0
0,213,0
0,214,0
0,215,1
0,216,2
0,217,1
0,218,2
0,219,1
0,220,2
0,221,8
0,222,0
0,223,1
0,224,1
0,225,0
0,226,1
0,227,0
0,228,1
0,229,2
0,230,1
0,231,1
0,232,3
0,233,2
0,234,1
0,235,1
0,236,2
0,237,0
0,238,0
0,239,0
0,240,0
0,241,2
0,242,0
0,243,3
0,244,1
0,245,1
0,246,0
0,247,1
0,248,3
0,249,2
0,250,0
0,251,1
0,252,1
0,253,1
0,254,0
0,255,1
0,256,1
0,257,1
0,258,3
0,259,2
0,260,1
0,261,0
0,262,1
0,263,1
0,264,3
0,265,3
0,266,3
0,267,1
0,268,0
0,269,1
0,270,0
0,271,0
0,272,4
0,273,0
0,274,0
0,275,1
0,276,1
0,277,2
0,278,1
0,279,1
0,280,0
0,281,2
0,282,1
0,283,2
0,284,1
0,285,2
0,286,1
0,287,0
0,288,1
0,289,0
0,290,2
0,291,1
0,292,0
0,293,1
0,294,2
0,295,0
0,296,0
0,297,0
0,298,4
0,299,2
0,300,0
0,301,2
0,302,0
0,303,1
0,304,0
0,305,1
0,306,0
0,307,0
0,308,2
0,309,3
0,310,1
0,311,0
0,312,0
0,313,0
0,314,0
0,315,1
0,316,1
0,317,1
0,318,1
0,319,0
0,320,0
0,321,0
0,322,0
0,323,2
0,324,1
0,325,3
0,326,2
0,327,0
0,328,2
0,329,0
0,330,2
0,331,1
0,332,0
0,333,0
0,334,1
0,335,3
0,336,0
0,337,2
0,338,1
0,339,0
0,340,1
0,341,2
0,342,1
0,343,0
0,344,0
0,345,1
0,346,1
0,347,1
0,348,1
0,349,0
0,350,0
0,351,1
0,352,0
0,353,1
0,354,1
0,355,2
0,356,4
0,357,0
0,358,1
0,359,0
0,360,0
0,361,2
0,362,0
0,363,1
0,364,0
0,365,0
0,366,2
0,367,0
0,368,4
0,369,3
0,370,2
0,371,2
0,372,3
0,373,1
0,374,2
0,375,1
0,376,0
0,377,0
0,378,0
0,379,0
0,380,0
0,381,0
0,382,1
0,383,2
0,384,0
0,385,0
0,386,1
0,387,1
0,388,2
0,389,1
0,390,0
0,391,0
0,392,1
0,393,3
0,394,1
0,395,0
0,396,2
0,397,1
0,398,0
0,399,2
0,400,1
0,401,1
0,402,0
0,403,2
0,404,0
0,405,0
0,406,4
0,407,2
0,408,1
0,409,0
0,410,1
0,411,1
0,412,0
0,413,0
0,414,3
0,415,0
0,416,0
0,417,6
0,418,2
0,419,0
0,420,2
0,421,0
0,422,0
0,423,0
0,424,1
0,425,5
0,426,3
0,427,1
0,428,4
0,429,1
0,430,4
0,431,7
0,432,3
0,433,4
0,434,1
0,435,1
0,436,5
0,437,0
0,438,1
0,439,1
0,440,0
0,441,1
0,442,1
0,443,2
0,444,10
0,445,0
0,446,0
0,447,8
0,448,2
0,449,0
0,450,0
0,451,0
0,452,0
0,453,1
0,454,0
0,455,2
0,456,3
0,457,1
0,458,2
0,459,1
0,460,2
0,461,0
0,462,1
0,463,2
0,464,0
0,465,1
0,466,2
0,467,0
0,468,0
0,469,3
0,470,0
0,471,0
0,472,4
0,473,1
0,474,1
0,475,0
0,476,0
0,477,0
0,478,0
0,479,0
0,480,0
0,481,1
0,482,1
0,483,3
0,484,0
0,485,1
0,486,2
0,487,0
0,488,0
0,489,0
0,490,0
0,491,1
0,492,0
0,493,0
0,494,1
0,495,2
0,496,1
0,497,3
0,498,0
0,499,1
0,500,1
0,501,1
0,502,0
0,503,0
0,504,0
0,505,0
0,506,1
0,507,0
0,508,1
0,509,1
0,510,0
0,511,2
0,512,2
0,513,1
0,514,0
0,515,0
0,516,1
0,517,0
0,518,2
0,519,3
0,520,2
0,521,1
0,522,4
0,523,1
0,524,3
0,525,0
0,526,0
0,527,2
0,528,2
0,529,3
0,530,2
0,531,0
0,532,2
0,533,2
0,534,1
0,535,0
0,536,1
0,537,0
0,538,0
0,539,1
0,540,5
0,541,5
0,542,2
0,543,2
0,544,2
0,545,2
0,546,3
0,547,1
0,548,2
0,549,1
0,550,2
0,551,1
0,552,2
0,553,2
0,554,0
0,555,0
0,556,0
0,557,0
0,558,2
0,559,1
0,560,1
0,561,2
0,562,0
0,563,1
0,564,1
0,565,1
0,566,0
0,567,0
0,568,0
0,569,1
0,570,1
0,571,0
0,572,0
0,573,0
0,574,2
0,575,2
0,576,1
0,577,0
0,578,0
0,579,1
0,580,0
0,581,0
0,582,0
0,583,1
0,584,2
0,585,1
0,586,0
0,587,1
0,588,3
0,589,1
0,590,0
0,591,0
0,592,0
0,593,0
0,594,0
0,595,1
0,596,4
0,597,4
0,598,2
0,599,2
0,600,1
0,601,0
0,602,1
0,603,4
0,604,1
0,605,1
0,606,1
0,607,1
0,608,2
0,609,1
0,610,0
0,611,1
0,612,4
0,613,0
0,614,1
0,615,1
0,616,2
0,617,0
0,618,3
0,619,1
0,620,1
0,621,0
0,622,0
0,623,0
0,624,2
0,625,0
0,626,0
0,627,1
0,628,1
0,629,0
0,630,1
0,631,1
0,632,1
0,633,1
0,634,4
0,635,4
0,636,1
0,637,0
0,638,4
0,639,0
0,640,0
0,641,2
0,642,1
0,643,0
0,644,0
0,645,1
0,646,0
0,647,1
0,648,2
0,649,2
0,650,1
0,651,1
0,652,1
0,653,0
0,654,2
0,655,0
0,656,0
0,657,0
0,658,0
0,659,0
0,660,0
0,661,0
0,662,1
0,663,1
0,664,2
0,665,0
0,666,2
0,667,0
0,668,2
0,669,2
0,670,1
0,671,0
0,672,0
0,673,1
0,674,0
0,675,0
0,676,1
0,677,0
0,678,4
0,679,1
0,680,0
0,681,1
0,682,0
0,683,0
0,684,0
0,685,0
0,686,1
0,687,7
0,688,1
0,689,3
0,690,2
0,691,0
0,692,0
0,693,1
0,694,0
0,695,1
0,696,1
0,697,0
0,698,1
0,699,0
0,700,0
0,701,0
0,702,0
0,703,1
0,704,0
0,705,2
0,706,1
0,707,2
0,708,1
0,709,1
0,710,2
0,711,1
0,712,1
0,713,1
0,714,3
0,715,0
0,716,0
0,717,0
0,718,0
0,719,2
0,720,0
0,721,2
0,722,3
0,723,1
0,724,0
0,725,6
0,726,0
0,727,2
0,728,0
0,729,2
0,730,0
0,731,1
0,732,0
0,733,3
0,734,0
0,735,3
0,736,1
0,737,2
0,738,1
0,739,3
0,740,2
0,741,1
0,742,3
0,743,0
0,744,0
0,745,1
0,746,2
0,747,0
0,748,0
0,749,0
0,750,0
0,751,0
0,752,1
0,753,0
0,754,0
0,755,1
0,756,1
0,757,4
0,758,1
0,759,1
0,760,2
0,761,0
0,762,1
0,763,1
0,764,0
0,765,0
0,766,0
0,767,1
0,768,1
0,769,4
0,770,3
0,771,0
0,772,2
0,773,1
0,774,1
0,775,2
0,776,0
0,777,0
0,778,1
0,779,0
0,780,2
0,781,4
0,782,1
0,783,0
0,784,4
0,785,2
0,786,1
0,787,1
0,788,1
0,789,0
0,790,3
0,791,0
0,792,6
0,793,2
0,794,0
0,795,1
0,796,1
0,797,1
0,798,2
0,799,4
0,800,0
0,801,1
0,802,1
0,803,1
0,804,1
0,805,1
0,806,0
0,807,1
0,808,1
0,809,2
0,810,0
0,811,2
0,812,1
0,813,1
0,814,1
0,815,0
0,816,1
0,817,0
0,818,1
0,819,0
0,820,1
0,821,1
0,822,0
0,823,0
0,824,2
0,825,1
0,826,1
0,827,0
0,828,2
0,829,1
0,830,3
0,831,5
0,832,2
0,833,0
0,834,0
0,835,0
0,836,0
0,837,0
0,838,0
0,839,1
0,840,0
0,841,0
0,842,0
0,843,4
0,844,1
0,845,1
0,846,4
0,847,2
0,848,0
0,849,1
0,850,1
0,851,1
0,852,2
0,853,1
0,854,1
0,855,0
0,856,0
0,857,2
0,858,0
0,859,0
0,860,0
0,861,1
0,862,0
0,863,1
0,864,2
0,865,0
0,866,1
0,867,0
0,868,0
0,869,0
0,870,1
0,871,3
0,872,1
0,873,0
0,874,2
0,875,1
0,876,1
0,877,0
0,878,0
0,879,1
0,880,3
0,881,1
0,882,0
0,883,1
0,884,1
0,885,0
0,886,0
0,887,0
0,888,0
0,889,1
0,890,1
0,891,0
0,892,1
0,893,1
0,894,0
0,895,2
0,896,0
0,897,0
0,898,2
0,899,5
0,900,0
0,901,0
0,902,2
0,903,4
0,904,6
0,905,1
0,906,0
0,907,1
0,908,0
